cross_val_F1,test_set_F1
67.8787878787879,46.2808813107397
67.6932746700189,60.9503072382963
83.5897435897436,85.3115734989649
81.578947368421,86.5704009034445
89.5356895356895,86.1108270676694
82.6458036984353,71.8289675168314
81.4634146341463,80.5752173913043
88.6392811296534,79.5610865602742
89.1405342624855,83.1522868435912
85.3571428571429,79.6507961603614
80.0754242614708,76.2264466403162
82.4890556597874,78.6165204810446
85.0793650793651,81.7921136834178
86.8329868329868,88.3155007743338
81.2466124661247,93.0505263157896
82.051282051282,94.7368421052633
80.8848553601815,90.0892754613807
78.0405405405405,83.8269116855536
82.0039551746869,84.4047527910687
79.9145299145299,83.6121402320029
78.4980744544287,86.2062918990494
74.4588744588745,86.3940624147171
74.132730015083,85.7460738803532
75.4180602006689,78.7931303341668
74.017094017094,81.8325017088176
74.937343358396,80.7677880976952
74.0853658536585,67.8198245614034
